COMPANY ID,  MAIN TYPE  ,SUB TYPE, SHORT NAME ,DATE,PRICE HIGH,PRICE LOW,CLOSE PRICE,OPEN PRICE,TRADE VOLUME,SHARE VOLUME,TURNOVER
JKH,N,0,JKH,03-Jan-22,153.25,149,152.75,149,321,"799,594","121,924,661.25"
JKH,N,0,JKH,04-Jan-22,153.25,149,149.5,152,177,"317,312","47,828,319.50"
JKH,N,0,JKH,05-Jan-22,151.75,147,150.75,147,232,"1,557,752","234,256,848.25"
JKH,N,0,JKH,06-Jan-22,152,148.5,151,150,189,"318,537","47,954,694.75"
JKH,N,0,JKH,07-Jan-22,158.25,150,155.5,152,627,"3,343,693","512,681,468.50"
JKH,N,0,JKH,10-Jan-22,159,154,157,157.5,359,"431,534","67,665,138.50"
JKH,N,0,JKH,11-Jan-22,160.75,152.5,157.5,154,237,"507,646","79,308,624.00"
JKH,N,0,JKH,12-Jan-22,157.5,156,157,157,166,"123,969","19,435,506.00"
JKH,N,0,JKH,13-Jan-22,166.75,155,163.25,156.5,679,"1,280,271","206,328,259.50"
JKH,N,0,JKH,18-Jan-22,167.5,162,163.75,166.25,444,"501,578","82,889,673.25"
JKH,N,0,JKH,19-Jan-22,164,160,162.75,164,239,"194,600","31,654,117.75"
JKH,N,0,JKH,20-Jan-22,163.25,161.5,162,163,161,"171,773","27,894,084.25"
JKH,N,0,JKH,21-Jan-22,162,159,161,162,295,"1,209,974","193,742,443.00"
JKH,N,0,JKH,24-Jan-22,163.75,161,162,161,359,"80,657,771","12,986,725,898.00"
JKH,N,0,JKH,25-Jan-22,163,160,160.5,162,245,"192,701","30,993,507.00"
JKH,N,0,JKH,26-Jan-22,161,159,160.25,160.25,214,"302,664","48,562,316.00"
JKH,N,0,JKH,27-Jan-22,164.75,159.5,160.75,161.5,436,"552,876","89,257,535.25"
JKH,N,0,JKH,28-Jan-22,162,157.5,159.5,161,314,"489,165","78,233,389.25"
JKH,N,0,JKH,31-Jan-22,161,158,160.25,160,224,"844,757","135,391,819.25"
JKH,N,0,JKH,01-Feb-22,161,159,160,160.5,170,"215,594","34,489,451.75"
JKH,N,0,JKH,02-Feb-22,160,157.5,158.25,160,174,"244,918","38,941,814.75"
JKH,N,0,JKH,03-Feb-22,159,155,158,158,174,"288,348","45,476,078.50"
